Brand,Model,Transmission,Fuel type,Year of Manufacture,Median_Price
Mitsubishi,Outlander,Automatic,Hybrid,2023,42199432.52
Mitsubishi,Outlander,Automatic,Hybrid,2024,42199432.52
Mitsubishi,Outlander,Automatic,Petrol,2012,12400000.0
Mitsubishi,Outlander,Automatic,Petrol,2013,12400032.32
Mitsubishi,Outlander,Automatic,Petrol,2014,13749996.46
Mitsubishi,Outlander,Automatic,Petrol,2015,14699971.23
Mitsubishi,Xpander,Automatic,Petrol,2018,15825000.0
Mitsubishi,Xpander,Automatic,Petrol,2019,15850000.0
Mitsubishi,Xpander,Automatic,Petrol,2020,15999997.12
Nissan,Cefiro,Automatic,Petrol,2000,3650000.0
Nissan,Cefiro,Automatic,Petrol,2001,3650051.26
Nissan,Cefiro,Automatic,Petrol,2002,3650051.26
Nissan,Cefiro,Automatic,Petrol,2003,5589999.73
Nissan,Cefiro,Automatic,Petrol,2004,5589999.73
Nissan,Cefiro,Automatic,Petrol,2005,5589999.73
Nissan,Cefiro,Automatic,Petrol,2006,7499949.0
Nissan,Cefiro,Automatic,Petrol,2007,7499949.0
Nissan,Dayz,Automatic,Hybrid,2017,5975000.0
Nissan,Dayz,Automatic,Hybrid,2018,5975045.15
Nissan,Dayz,Automatic,Hybrid,2019,5975045.15
Nissan,Dayz,Automatic,Hybrid,2020,5975045.15
Nissan,Dayz,Automatic,Hybrid,2021,8249984.73
Nissan,Dayz,Automatic,Hybrid,2022,8249984.73
Nissan,Dayz,Automatic,Hybrid,2023,8249984.73
Nissan,Dayz,Automatic,Hybrid,2024,8799970.12
Nissan,Dayz,Automatic,Petrol,2015,6490000.0
Nissan,Dayz,Automatic,Petrol,2016,6350000.0
Nissan,Dayz,Automatic,Petrol,2017,6512500.0
Nissan,Dayz,Automatic,Petrol,2018,7249994.98
Nissan,Dayz,Automatic,Petrol,2019,7249994.98
Nissan,Dayz,Automatic,Petrol,2020,7249994.98
Nissan,Dayz,Automatic,Petrol,2021,7949971.83
Nissan,Dayz,Automatic,Petrol,2022,7949971.83
Nissan,Dayz,Automatic,Petrol,2023,7949971.83
Nissan,Dayz,Automatic,Petrol,2024,7474989.21
Nissan,Dayz,Automatic,Petrol,2025,7399995.35
