Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/toyota-land-cruiser-prado-120-tx-2007-for-sale-colombo-11,Toyota Land Cruiser Prado 120 TX 2007,"Posted on 08 May 9:32 am, Colombo 5, Colombo7994views",Toyota,Land Cruiser Prado,0,PRADO 120 TX,2007,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","114,000 km","Rs 18,750,000"
https://ikman.lk/en/ad/toyota-vitz-2016-for-sale-colombo-2225,Toyota Vitz 2016,"Posted on 08 May 9:32 am, Dehiwala, Colombo5245views",Toyota,Vitz,0,0,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","60,500 km","Rs 7,875,000"
https://ikman.lk/en/ad/toyota-premio-2013-for-sale-colombo-1419,Toyota Premio 2013,"Posted on 08 May 9:23 am, Moratuwa, Colombo1724views",Toyota,Premio,0,0,2013,Used,Automatic,Saloon,Petrol,"1,500 cc","236,300 km","Rs 11,700,000"
https://ikman.lk/en/ad/toyota-chr-ngx-10-st-turbo-2018-for-sale-gampaha,Toyota CHR NGX 10 ST Turbo 2018,"Posted on 08 May 8:51 am, Wattala, Gampaha8594views",Toyota,CHR,0,NGX 10 ST Turbo,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","68,000 km","Rs 14,850,000"
https://ikman.lk/en/ad/toyota-roomy-2023-for-sale-colombo-3,Toyota Roomy 2023,"Posted on 08 May 11:35 am, Rajagiriya, Colombo",Toyota,Roomy,0,2023,2023,Used,Automatic,MPV,Petrol,"1,000 cc","9,000 km","Rs 11,500,000"
https://ikman.lk/en/ad/toyota-yaris-x-2022-for-sale-colombo-2,Toyota Yaris X 2022,"Posted on 08 May 8:38 am, Boralesgamuwa, Colombo1694views",Toyota,Yaris,0,X,2022,Reconditioned,Automatic,Hatchback,Petrol,990 cc,"31,900 km","Rs 10,590,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-250-2024-for-sale-gampaha-1,Toyota Land Cruiser Prado 250 2024,"Posted on 08 May 8:32 am, Negombo, Gampaha3102views",Toyota,Land Cruiser Prado,0,250,2024,New,Automatic,SUV / 4x4,Petrol,"2,700 cc",0 km,"Rs 66,300,000"
https://ikman.lk/en/ad/toyota-premio-g-superi-2013-for-sale-colombo,Toyota Premio G superi 2013,"Posted on 08 May 8:29 am, Kottawa, Colombo",Toyota,Premio,0,G superi,2013,Used,Automatic,Saloon,Petrol,"1,500 cc","123,000 km","Rs 12,875,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-2017-for-sale-colombo-29,Toyota Land Cruiser Prado TX 2017,"Posted on 08 May 8:19 am, Kottawa, Colombo",Toyota,Land Cruiser Prado,0,TX 2017,2017,Used,Automatic,SUV / 4x4,Petrol,"2,690 cc","81,000 km","Rs 46,850,000"
https://ikman.lk/en/ad/toyota-pixis-2016-for-sale-colombo-12,Toyota Pixis 2016,"Posted on 08 May 8:05 am, Colombo 6, Colombo",Toyota,Pixis,0,Pixis,2016,Used,Automatic,Hatchback,Petrol,660 cc,"45,000 km","Rs 7,600,000"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-zx-lc300-2024-for-sale-gampaha-1,Toyota Land Cruiser Sahara ZX LC300 2024,"Posted on 08 May 8:04 am, Ja-Ela, Gampaha1198views",Toyota,Land Cruiser Sahara,0,ZX LC300 2024,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,"3,500 cc","4,000 km","Rs 99,500,000"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-zx-lc300-2024-for-sale-gampaha-2,Toyota Land Cruiser Sahara ZX LC300 2024,"Posted on 08 May 8:04 am, Ja-Ela, Gampaha1070views",Toyota,Land Cruiser Sahara,0,ZX LC300 2024,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,"3,500 cc","1,400 km","Rs 99,500,000"
https://ikman.lk/en/ad/toyota-chr-2018-for-sale-colombo-744,Toyota CHR 2018,"Posted on 08 May 1:45 am, Colombo 9, Colombo5610views",Toyota,CHR,0,2018,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","62,000 km","Rs 15,500,000"
https://ikman.lk/en/ad/toyota-premio-g-superior-2013-for-sale-colombo-2024,Toyota Premio G Superior 2013,"Posted on 08 May 1:06 am, Piliyandala, Colombo58views",Toyota,Premio,0,G Superior ,2013,Used,Automatic,Saloon,Petrol,"1,500 cc","87,000 km","Rs 13,890,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-l-6-forward-2015-for-sale-colombo,Toyota Land Cruiser Prado TX-L 6 Forward 2015,"Posted on 08 May 12:50 am, Kohuwala, Colombo184views",Toyota,Land Cruiser Prado,0,TX-L 6 Forward,2015,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","39,000 km","Rs 37,800,000"
https://ikman.lk/en/ad/toyota-voxy-v-grade-2015-for-sale-colombo-2,Toyota Voxy V Grade 2015,"Posted on 07 May 11:16 pm, Dehiwala, Colombo132views",Toyota,Voxy,0,V Grade,2015,Used,Automatic,MPV,Petrol,"1,800 cc","140,000 km","Rs 17,475,000"
https://ikman.lk/en/ad/toyota-premio-g-superior-2019-for-sale-colombo-755,Toyota Premio G Superior 2019,"Posted on 07 May 11:09 pm, Dehiwala, Colombo89views",Toyota,Premio,0,G Superior,2019,Used,Automatic,Saloon,Petrol,"1,500 cc","76,000 km","Rs 18,875,000"
